,COD-LOJA,COD-PLU,QTD-EMBAL
0,1299,0,11
1,1299,987,6
2,1299,1106,10
3,1299,11426,8
4,1299,11464,10
5,1299,13239,4
6,1299,13291,4
7,1299,13437,4
8,1299,13840,4
9,1299,14076,3
10,1299,15615,10
11,1299,17497,15
12,1299,20879,1
13,1299,22224,10
14,1299,23214,3
15,1299,23351,5
16,1299,23511,6
17,1299,24082,1
18,1299,24877,6
19,1299,25577,1
20,1299,26949,1
21,1299,29995,7
22,1299,30366,7
23,1299,30908,12
24,1299,31943,5
25,1299,32476,6
26,1299,37396,9
27,1299,38980,20
28,1299,43717,15
29,1299,46534,5
30,1299,47722,9
31,1299,48118,9
32,1299,52672,1
33,1299,55284,1
34,1299,56892,1
35,1299,58933,15
36,1299,62848,10
37,1299,66648,16
38,1299,66662,6
39,1299,68086,20
40,1299,74063,1
41,1299,74124,1
42,1299,74278,1
43,1299,79471,1
44,1299,79952,6
45,1299,80262,1
46,1299,81450,6
47,1299,85823,4
48,1299,94870,3
49,1299,95235,9
50,1299,96492,4
51,1299,97864,17
52,1299,98137,7
53,1299,99301,12
54,1299,102056,28
55,1299,104029,6
56,1299,105002,7
57,1299,110099,2
58,1299,110228,5
59,1299,111034,5
60,1299,113519,3
61,1299,114158,9
62,1299,115858,4
63,1299,115889,1
64,1299,116398,12
65,1299,118224,2
66,1299,120463,1
67,1299,120968,1
68,1299,123983,4
69,1299,124423,1
70,1299,126335,1
71,1299,126717,4
72,1299,127158,21
73,1299,127165,9
74,1299,128407,12
75,1299,130585,3
76,1299,132817,4
77,1299,137850,10
78,1299,139656,4
79,1299,142281,1
80,1299,142960,4
81,1299,143066,1
82,1299,147606,8
83,1299,147965,3
84,1299,151245,19
85,1299,152594,6
86,1299,152709,5
87,1299,153270,3
88,1299,153324,3
89,1299,153355,3
90,1299,154093,1
91,1299,155304,1
92,1299,157155,1
93,1299,161060,6
94,1299,162241,1
95,1299,163729,1
96,1299,165693,12
97,1299,166317,1
98,1299,166669,10
99,1299,170048,1
100,1299,171274,1
101,1299,171366,1
102,1299,178914,4
103,1299,179607,15
104,1299,180962,1
105,1299,180986,1
106,1299,181044,1
107,1299,181105,1
108,1299,181174,4
109,1299,181808,9
110,1299,182324,1
111,1299,182423,22
112,1299,190060,2
113,1299,191142,2
114,1299,192101,8
115,1299,192118,4
116,1299,192217,9
117,1299,196598,2
118,1299,197717,17
119,1299,197762,1
120,1299,197878,1
121,1299,198127,2
122,1299,199438,14
123,1299,199445,16
124,1299,199513,18
125,1299,200813,8
126,1299,203043,1
127,1299,203050,1
128,1299,203258,19
129,1299,203265,20
130,1299,203388,20
131,1299,203456,20
132,1299,203845,9
133,1299,206440,4
134,1299,208659,3
135,1299,208666,2
136,1299,208796,25
137,1299,209229,1
138,1299,209311,1
139,1299,211055,2
140,1299,212212,1
141,1299,212236,1
142,1299,212342,13
143,1299,214735,1
144,1299,214797,12
145,1299,215022,1
146,1299,216050,1
147,1299,218528,1
148,1299,219181,2
149,1299,219204,9
150,1299,219785,8
151,1299,220163,7
152,1299,221085,1
153,1299,221146,1
154,1299,224659,1
155,1299,224666,3
156,1299,224703,7
157,1299,224727,6
158,1299,225090,1
159,1299,225854,6
160,1299,229043,1
161,1299,230513,1
162,1299,230520,1
163,1299,230582,1
164,1299,230599,1
165,1299,230926,1
166,1299,232319,5
167,1299,232340,12
168,1299,232401,1
169,1299,232562,10
170,1299,232647,1
171,1299,235211,1
172,1299,238090,1
173,1299,238106,1
174,1299,238113,1
175,1299,239820,23
176,1299,240963,1
177,1299,241328,6
178,1299,241359,5
179,1299,246668,1
180,1299,248334,20
181,1299,248495,50
182,1299,248532,6
183,1299,249065,1
184,1299,249119,1
185,1299,249799,1
186,1299,249966,7
187,1299,250016,1
188,1299,250719,20
189,1299,250917,1
190,1299,251082,7
191,1299,251266,4
192,1299,251952,1
193,1299,252492,1
194,1299,252508,1
195,1299,252645,1
196,1299,253185,1
197,1299,253437,1
198,1299,253826,1
199,1299,254199,1
200,1299,254373,1
201,1299,255677,1
202,1299,257602,12
203,1299,257664,12
204,1299,262798,6
205,1299,262804,6
206,1299,262828,6
207,1299,263870,8
208,1299,264693,1
209,1299,265621,1
210,1299,268066,1
211,1299,271622,1
212,1299,271653,1
213,1299,278720,8
214,1299,286695,3
215,1299,295475,1
216,1299,299909,3
217,1299,300438,2
218,1299,301404,1
219,1299,306058,5
220,1299,309400,1
221,1299,319164,1
222,1299,321013,1
223,1299,321020,4
224,1299,322218,1
225,1299,325080,1
226,1299,331982,48
227,1299,333924,5
228,1299,337571,1
229,1299,338721,6
230,1299,341097,1
231,1299,345781,1
232,1299,346085,6
233,1299,347204,1
234,1299,357852,3
235,1299,357869,1
236,1299,362122,120
237,1299,370820,1
238,1299,371728,1
239,1299,381611,1
240,1299,384094,1
241,1299,388948,1
242,1299,397803,1
243,1299,401791,1
244,1299,402736,10
245,1299,403658,4
246,1299,418652,4
247,1299,437424,5
248,1299,437431,4
249,1299,437622,22
250,1299,438353,4
251,1299,450607,1
252,1299,454292,0
253,1299,456364,1
254,1299,468084,3
255,1299,468091,1
256,1299,471657,6
257,1299,471831,3
258,1299,473408,12
259,1299,473989,1
260,1299,476119,8
261,1299,483612,1
262,1299,487085,14
263,1299,487092,12
264,1299,487740,4
265,1299,499606,1
266,1299,505581,1
267,1299,505673,1
268,1299,505888,1
269,1299,505901,1
270,1299,507394,1
271,1299,507745,1
272,1299,545327,1
273,1299,549172,1
274,1299,556750,0
275,1299,567787,1
276,1299,587501,14
277,1299,617864,7
278,1299,617949,1
279,1299,661836,2
280,1299,669252,4
281,1299,737364,1
282,1299,778107,1
283,1299,783118,2
284,1299,783279,1
285,1299,783385,2
286,1299,784498,1
287,1299,787321,1
288,1299,790307,1
289,1299,790642,189
290,1299,790666,1
291,1299,791540,1
292,1299,791595,1
293,1299,791946,1
294,1299,793506,1
295,1299,794923,2
296,1299,796361,1
297,1299,798624,2
298,1299,798860,1
299,1299,799553,1
300,1299,982795,1
301,1299,997522,3
302,1299,998581,2
303,1299,1001106,1
304,1299,1002052,1
305,1299,1002907,1
306,1299,1002909,1
307,1299,1003204,14
308,1299,1004347,2
309,1299,1005372,1
310,1299,1006215,1
311,1299,1006217,1
312,1299,1006237,1
313,1299,1006239,1
314,1299,1006319,1
315,1299,1006660,1
316,1299,1006896,1
317,1299,1006964,1
318,1299,1007039,1
319,1299,1007060,1
320,1299,1007114,24
321,1299,1007494,1
322,1299,1007630,1
323,1299,1008412,1
324,1299,1008448,5
325,1299,1009072,1
326,1299,1010302,1
327,1299,1010303,2
328,1299,1010377,1
329,1299,1010494,1
330,1299,1011638,72
331,1299,1012992,30
332,1299,1013044,1
333,1299,1014041,3
334,1299,1014045,1
335,1299,1015198,1
336,1299,1015465,1
337,1299,1015609,1
338,1299,1015617,0
339,1299,1015858,1
340,1299,1016199,1
341,1299,1016210,1
342,1299,1017327,1
343,1299,1017341,1
344,1299,1017442,0
345,1299,1017981,3
346,1299,1017982,1
347,1299,1020306,4
348,1299,1020307,1
349,1299,1020607,2
350,1299,1022951,1
351,1299,1022954,1
352,1299,1022955,1
353,1299,1022956,1
354,1299,1023018,1
355,1299,1023603,1
356,1299,1023644,1
357,1299,1024452,1
358,1299,1024486,1
359,1299,1024489,2
360,1299,1024635,1
361,1299,1024669,1
362,1299,1024682,1
363,1299,1024824,1
364,1299,1024825,1
365,1299,1024826,1
366,1299,1025044,1
367,1299,1025660,6
368,1299,1025816,2
369,1299,1028233,1
370,1299,1028235,1
371,1299,1028236,1
372,1299,1028238,7
373,1299,1029287,1
374,1299,1029662,1
375,1299,1030524,0
376,1299,1031258,1
377,1299,1031262,1
378,1299,1031741,1
379,1299,1033241,1
380,1299,1034693,1
381,1299,1034888,1
382,1299,1035679,2
383,1299,1035708,3
384,1299,1035709,3
385,1299,1036090,1
386,1299,1036346,1
387,1299,1036679,1
388,1299,1038399,0
389,1299,1038410,8
390,1299,1038423,5
391,1299,1038619,0
392,1299,1039082,1
393,1299,1039296,2
394,1299,1039326,2
395,1299,1039443,1
396,1299,1039591,1
397,1299,1040487,2
398,1299,1040706,1
399,1299,1040709,2
400,1299,1040913,1
401,1299,1041752,1
402,1299,1042369,1
403,1299,1044069,2
404,1299,1044090,1
405,1299,1044250,1
406,1299,1044608,1
407,1299,1044609,2
408,1299,1045506,1
409,1299,1045693,2
410,1299,1045798,1
411,1299,1045842,1
412,1299,1045845,1
413,1299,1045852,1
414,1299,1045921,1
415,1299,1046043,4
416,1299,1046044,4
417,1299,1046370,1
418,1299,1046924,1
419,1299,1048651,2
420,1299,1049926,1
